                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.1836,                 1.6395,                0.96919,                 1.1401,                0.75247,                0.65967,                0.72247,                0.53475,                0.71858,                0.66973,                0.71356,                0.47239,                  1.208,                0.99596,                 1.0202,                 1.1795,               0.007822,               0.007822,               0.007822
                     35,                 1.1685,                   1.63,                0.94924,                 1.1261,                0.63085,                0.72209,                0.70004,                0.50491,                0.61891,                0.71065,                0.68767,                 0.4375,                 1.1899,                0.97836,                0.91631,                 1.1533,               0.007756,               0.007756,               0.007756
                     36,                 1.1734,                 1.6607,                0.95008,                 1.1257,                0.65118,                0.72667,                0.70946,                0.51981,                0.64601,                0.71955,                0.69966,                0.45792,                 1.1908,                  1.053,                0.95509,                 1.1574,                0.00769,                0.00769,                0.00769
                     37,                 1.1543,                 1.6126,                0.94106,                 1.1281,                0.37095,                0.47627,                 0.4309,                0.27037,                0.36916,                0.46915,                0.41582,                0.23322,                 1.6753,                 1.5422,                 1.7851,                 1.5602,               0.007624,               0.007624,               0.007624
                     38,                 1.1768,                 1.6783,                0.94991,                 1.1285,                0.26264,                0.46084,                0.33625,                0.20919,                0.42159,                 0.2875,                0.31732,                0.17855,                 1.6065,                 1.5636,                 2.1101,                 1.5329,               0.007558,               0.007558,               0.007558
                     39,                 1.1484,                 1.6602,                0.93786,                 1.1251,                0.65349,                0.64435,                0.65069,                0.44254,                0.65138,                 0.6409,                 0.6447,                0.40169,                 1.3357,                 1.0766,                 1.1634,                 1.2268,               0.007492,               0.007492,               0.007492
                     40,                 1.1469,                 1.5893,                0.92406,                 1.1216,                0.72725,                0.73479,                0.76079,                0.57367,                0.72445,                0.73202,                 0.7551,                0.51942,                 1.1923,                0.97044,                0.88403,                 1.1398,               0.007426,               0.007426,               0.007426
                     41,                  1.152,                 1.6088,                0.92913,                 1.1318,                 0.6869,                0.73264,                0.71047,                0.50558,                0.68149,                0.72624,                0.70161,                0.44389,                  1.227,                 1.0257,                0.94228,                 1.1739,                0.00736,                0.00736,                0.00736
                     42,                 1.1398,                  1.583,                0.91176,                 1.1145,                0.72221,                0.72918,                0.76777,                0.57063,                0.71475,                0.72138,                0.75685,                 0.5093,                 1.1745,                0.97178,                 0.9033,                 1.1332,               0.007294,               0.007294,               0.007294
                     43,                 1.1517,                 1.5794,                0.91169,                   1.12,                 0.6868,                0.76337,                0.75274,                0.55099,                0.67746,                0.75424,                0.73663,                0.47598,                 1.1853,                0.97721,                0.89716,                 1.1462,               0.007228,               0.007228,               0.007228
                     44,                 1.1369,                 1.5626,                0.89953,                 1.1121,                0.48223,                0.62332,                0.52175,                0.34917,                0.48058,                0.61634,                0.51239,                0.29642,                 1.4453,                 1.1646,                 1.4041,                 1.3693,               0.007162,               0.007162,               0.007162
                     45,                 1.1364,                  1.576,                0.89355,                 1.1094,                0.68096,                0.70352,                0.69501,                0.51504,                0.67549,                0.69752,                0.68572,                0.45563,                 1.2244,                 1.0194,                0.99386,                 1.1879,               0.007096,               0.007096,               0.007096
                     46,                 1.1403,                 1.5857,                0.89833,                 1.1085,                0.65263,                0.77051,                 0.7269,                0.54085,                0.64425,                0.76065,                0.71228,                0.46178,                 1.1709,                 1.0132,                0.89907,                 1.1457,                0.00703,                0.00703,                0.00703
                     47,                  1.119,                 1.5612,                0.87726,                 1.1037,                 0.7817,                0.68668,                0.76158,                0.56986,                0.77665,                0.67869,                0.74921,                0.50541,                 1.1823,                 1.0079,                0.89114,                 1.1409,               0.006964,               0.006964,               0.006964
                     48,                  1.111,                 1.5628,                0.86266,                 1.1024,                0.67957,                 0.7001,                0.71959,                0.53426,                0.66827,                 0.6883,                0.70715,                0.46167,                 1.1675,                0.98686,                0.85244,                 1.1333,               0.006898,               0.006898,               0.006898
